product_id,category,material,packaging_type,transport_mode,distance_km,weight_kg,energy_kwh,water_process_l,carbon_kg,water_liters
44,Haircare,Plastic,Tube,Road,1256,0.142579684,2.579207368,14.49741264,5.569,13.04
45,Skincare,Paper,Box,Road,3409,0.303718792,3.75720929,10.28049705,10.047,11.06
46,Fragrance,Plastic,Jar,Sea,3285,0.204901988,3.681388678,12.91984633,9.571,7.98
47,Haircare,Paper,Box,Sea,4515,0.217489663,1.233263088,13.18004064,10.786,14.81
48,Fragrance,Aluminum,Tube,Sea,190,0.212993692,3.597298021,1,3.82,3.59
49,Makeup,Plastic,Jar,Road,428,0.348838288,4.11743903,15.23262873,4.6,15.76
50,Fragrance,Glass,Box,Road,242,0.246726707,4.264582898,12.74971098,4.144,12.17
51,Fragrance,Aluminum,Jar,Road,2197,0.256327986,3.640838901,14.82024433,8.511,13.94
52,Skincare,Plastic,Bottle,Road,4012,0.214749108,1.127376747,5.565782023,10.717,4.15
53,Haircare,Glass,Box,Road,3663,0.287029346,5.032497275,10.42113412,12.032,10.2
54,Haircare,Glass,Box,Road,1195,0.357945444,3.993227201,6.542352717,6.028,11.42
55,Haircare,Paper,Bottle,Road,3631,0.301828865,2.056016805,15.72300688,10.056,11.67
56,Skincare,Glass,Box,Road,3627,0.304949357,2.554684352,4.97441729,9.878,10.47
57,Makeup,Paper,Box,Sea,1093,0.298498416,3.777469051,7.35672609,5.314,5.78
58,Skincare,Paper,Box,Sea,4137,0.139580589,4.315741032,14.67157064,10.789,15.34
59,Makeup,Glass,Jar,Sea,2351,0.179910493,2.914444572,8.853127339,7.234,13.61
60,Makeup,Aluminum,Tube,Sea,373,0.233601009,4.490630489,7.358046716,4.652,11.17
61,Fragrance,Aluminum,Tube,Road,2178,0.191930877,1.348679805,16.53359715,7.082,8.21
62,Makeup,Plastic,Tube,Road,4245,0.164837038,2.249049187,16.73855878,11.11,16.22
63,Haircare,Aluminum,Tube,Road,3844,0.100225941,1.022763188,15.61035596,10.242,18.48
64,Fragrance,Plastic,Tube,Road,1512,0.142277663,2.423113829,16.24354837,6.14,19.77
65,Haircare,Plastic,Tube,Road,4175,0.229477955,5.309692621,10.84210361,12.201,13.71
66,Haircare,Plastic,Tube,Road,2173,0.244445891,5.969362682,10.97703513,8.737,9.4
67,Fragrance,Paper,Tube,Road,2558,0.186555698,3.781508562,8.759593607,8.183,9.85
68,Haircare,Aluminum,Bottle,Road,522,0.256314017,2.733884951,12.83864584,4.814,17.15
69,Skincare,Plastic,Bottle,Sea,5484,0.215293309,3.234032119,9.360508363,14.11,11.6
70,Haircare,Paper,Box,Sea,4620,0.337245887,4.068007869,9.83466897,11.72,14.54
71,Fragrance,Paper,Box,Sea,1112,0.237069939,1.624422978,14.99950217,4.501,10.02
72,Skincare,Paper,Tube,Sea,3105,0.305706471,2.813000989,17.92269623,8.527,18.3
73,Haircare,Aluminum,Bottle,Road,4302,0.266257101,5.221871689,13.99130127,13.203,8.28
74,Skincare,Plastic,Box,Road,2800,0.137834317,2.245147917,20.97157933,8.14,16.18
75,Makeup,Paper,Bottle,Sea,1198,0.242747346,2.601170121,8.47242214,4.866,9.45
76,Haircare,Plastic,Jar,Road,5328,0.151150072,3.515832387,2.810126804,14.764,6.11
77,Haircare,Plastic,Jar,Road,1515,0.241350333,3.839770711,15.57313945,6.621,11.78
78,Skincare,Plastic,Bottle,Road,1873,0.190389535,2.749995145,8.140832237,6.679,9.89
79,Makeup,Paper,Box,Sea,2075,0.280557043,3.59235726,10.63153879,6.87,11.94
80,Makeup,Aluminum,Tube,Sea,4904,0.142611653,4.22952744,3.151017449,12.987,6.16
81,Fragrance,Plastic,Jar,Road,2775,0.251176146,5.853742189,7.503948763,10.352,8.87
82,Haircare,Plastic,Tube,Sea,3972,0.295793247,3.348506745,4.488862917,11.043,10.25
83,Skincare,Plastic,Bottle,Road,4961,0.322607646,3.450443222,9.828483683,13.078,11.87
84,Fragrance,Aluminum,Jar,Road,5110,0.188866579,5.332942815,10.02724253,14.418,13.31
85,Makeup,Plastic,Tube,Road,4717,0.251420078,2.84100097,12.44980206,12.601,9.46
86,Makeup,Aluminum,Jar,Road,4997,0.264731758,1.910776361,18.19861482,13.476,20.01
87,Skincare,Plastic,Box,Sea,5217,0.373770102,3.800298771,15.38453132,13.345,19.08
88,Haircare,Plastic,Bottle,Road,5451,0.131493595,4.79141003,3.889151819,15.071,7.04
89,Fragrance,Paper,Bottle,Sea,3554,0.177111796,3.933256562,15.04007718,9.913,11.82
90,Fragrance,Plastic,Tube,Road,767,0.474356999,3.383581211,12.55877349,4.835,12.32
91,Haircare,Glass,Box,Sea,667,0.228152217,1.761927952,11.51086784,3.604,13.53
92,Fragrance,Plastic,Jar,Sea,4388,0.098720495,3.429956906,11.88650235,12.161,13.02
93,Fragrance,Aluminum,Bottle,Sea,1772,0.203395989,4.979785912,13.02276214,7.103,8.32
94,Haircare,Glass,Box,Sea,4434,0.05,2.019059502,8.540566045,11.001,10.87
95,Fragrance,Plastic,Jar,Air,5144,0.269273657,3.206303391,11.08824571,15.899,4.97
96,Haircare,Glass,Bottle,Road,3561,0.314782781,3.035018321,17.91969562,10.584,16.01
97,Skincare,Aluminum,Tube,Sea,4215,0.17706701,2.662754515,8.480471078,11.217,14.92
98,Makeup,Aluminum,Jar,Sea,1569,0.212342086,3.797507605,6.850560119,6.938,5.15
99,Makeup,Paper,Box,Road,2418,0.323892332,4.03196629,11.69146326,8.544,8
100,Skincare,Plastic,Jar,Road,5310,0.109982763,4.019392286,6.347167716,14.226,10.7
101,Fragrance,Paper,Tube,Road,4501,0.144274303,2.327828284,3.386084393,11.379,8.52
102,Skincare,Glass,Tube,Road,1164,0.231750785,1.524819567,10.27766411,4.909,13.06
103,Fragrance,Paper,Bottle,Road,5152,0.189813213,3.814866124,19.24310942,13.586,10.31
104,Skincare,Aluminum,Jar,Road,2772,0.226490648,2.89289715,11.80697952,8.711,9.28
105,Fragrance,Paper,Bottle,Sea,4649,0.148899974,5.705974856,12.89288547,13.213,11.85
106,Fragrance,Paper,Tube,Road,2892,0.267145079,5.761411635,1.349258209,10.339,2.1
107,Fragrance,Aluminum,Box,Sea,3341,0.238061353,5.888827753,14.19062746,10.981,13.04
108,Makeup,Plastic,Box,Road,931,0.29393524,2.371866919,12.46682931,4.982,12.44
109,Haircare,Aluminum,Jar,Sea,1895,0.26603196,4.183242904,8.67542586,7.858,9.82
110,Makeup,Paper,Jar,Road,3987,0.266535206,4.545143021,12.90025236,12.119,17.21
111,Haircare,Paper,Tube,Road,4641,0.134295412,4.41002508,12.85060809,13.134,14.69
112,Fragrance,Paper,Tube,Road,534,0.289407324,3.074722467,6.702560358,3.538,10.69
113,Makeup,Glass,Box,Sea,468,0.223530688,5.034997884,13.65926863,4.557,15.43
114,Haircare,Aluminum,Bottle,Road,3827,0.236672135,3.500569984,17.98567711,11.617,16
115,Makeup,Glass,Bottle,Sea,2486,0.33386115,3.65372735,10.86029262,8.086,10.95
116,Makeup,Aluminum,Jar,Road,4674,0.192445155,1.654599858,7.662028988,12.918,7.84
117,Skincare,Paper,Jar,Road,421,0.358094746,4.273717963,11.11209965,4.863,15.51
118,Skincare,Glass,Jar,Road,1954,0.365558024,3.187505944,16.27306598,7.167,15.03
119,Skincare,Aluminum,Box,Sea,243,0.310222755,4.057734635,5.868405804,4.14,14.78
120,Skincare,Paper,Bottle,Road,3916,0.171550335,3.78213644,14.89279129,10.774,13.53
121,Haircare,Paper,Box,Road,4725,0.07509654,3.717123892,8.609927707,12.446,10.86
122,Makeup,Plastic,Tube,Road,904,0.336306793,3.445143713,13.21031541,5.221,12.22
123,Makeup,Glass,Tube,Road,1815,0.258910805,4.443919682,9.178343625,7.827,9.27
124,Haircare,Paper,Tube,Road,4660,0.190384202,3.261328956,9.164915225,12.029,16.32
125,Fragrance,Paper,Bottle,Air,275,0.343884988,1.753763097,19.61547458,4.276,14.14
126,Makeup,Aluminum,Tube,Road,5238,0.18107529,4.182746728,4.954567047,14.031,6.8
127,Skincare,Paper,Bottle,Road,4884,0.216067579,2.52919337,14.42683089,12.166,13.28
128,Fragrance,Glass,Tube,Air,882,0.291991229,1.910885789,20.65662205,6.494,15.85
129,Makeup,Aluminum,Tube,Road,807,0.160911773,2.273307999,15.42760963,4.924,13.05
130,Makeup,Glass,Tube,Road,3820,0.241241527,3.839998855,5.344514905,10.969,5.09
131,Makeup,Paper,Jar,Sea,105,0.337130975,3.384177436,5.592097455,2.604,7.15
132,Makeup,Aluminum,Jar,Sea,2806,0.266888859,0.940780364,8.241873117,7.75,10.51
133,Skincare,Paper,Jar,Sea,409,0.349794107,3.039612868,12.78953956,3.114,17.05
134,Makeup,Aluminum,Bottle,Road,2946,0.340688189,4.90307747,13.12971347,10.194,13.19
135,Fragrance,Glass,Tube,Air,1958,0.250619067,2.958445195,5.641517229,9.046,7.02
136,Haircare,Glass,Bottle,Road,3900,0.06306069,3.301428136,7.636212708,11.284,8.69
137,Makeup,Plastic,Jar,Air,4849,0.161538216,4.751589725,7.942587565,15.247,8.18
138,Skincare,Aluminum,Tube,Sea,2713,0.311066729,4.45458711,11.09626596,9.181,11.41
139,Haircare,Glass,Bottle,Sea,3547,0.125979886,4.726101305,21.92347729,10.434,14.82
140,Haircare,Paper,Box,Road,3321,0.223864593,0.2,7.334064672,8.666,7.37
141,Fragrance,Glass,Jar,Road,5417,0.277078449,5.580227646,7.115210834,15.169,10.76
142,Skincare,Plastic,Bottle,Sea,1308,0.367565656,4.263680523,6.334298524,6.367,9.91
143,Haircare,Glass,Tube,Road,1352,0.203998424,6.453771697,15.17772286,7.023,14.47
144,Haircare,Plastic,Tube,Road,2112,0.198520983,2.561208763,11.79329202,7.212,11.4
145,Fragrance,Plastic,Tube,Sea,4064,0.245804339,1.383859273,7.518867259,10.13,10.71
146,Fragrance,Glass,Box,Sea,4765,0.278073038,3.508662148,10.18602208,12.316,7.5
147,Skincare,Aluminum,Jar,Road,1565,0.237660254,3.169553204,8.042448495,6.791,12.02
148,Skincare,Paper,Box,Road,648,0.333941468,4.28439678,13.47945641,5.33,14.99
149,Fragrance,Paper,Jar,Road,3367,0.186068493,4.789914014,25.42188303,10.062,19.18
150,Skincare,Plastic,Tube,Road,3306,0.259612875,3.395247026,14.75432203,9.966,16.09
151,Fragrance,Paper,Bottle,Road,2092,0.285617017,3.211150345,11.53505742,6.832,10.72
152,Haircare,Paper,Tube,Sea,1054,0.217981375,4.127263783,8.675122563,4.617,12.87
153,Fragrance,Paper,Jar,Sea,4681,0.317176795,3.192405601,5.282999591,11.788,6.85
154,Haircare,Plastic,Tube,Road,4663,0.261916683,3.092021479,15.66844866,12.464,19.32
155,Haircare,Paper,Box,Road,4124,0.313107657,4.744561926,15.39677089,11.806,15.47
156,Makeup,Aluminum,Box,Sea,3205,0.265528329,5.011733428,9.669495017,10.386,6.59
157,Skincare,Glass,Box,Sea,1474,0.280112366,4.800759493,18.06666991,6.126,19.48
158,Makeup,Plastic,Bottle,Sea,2246,0.199408659,3.298124345,12.10553469,7.203,12.67
159,Makeup,Aluminum,Bottle,Road,422,0.199538264,0.932253215,15.87380368,3.747,13.44
160,Fragrance,Glass,Box,Sea,1411,0.347951718,3.322152696,13.48098501,5.557,11.31
161,Fragrance,Plastic,Jar,Road,2504,0.300840836,2.590423985,11.1143206,8.008,4.93
162,Makeup,Paper,Bottle,Road,2430,0.168162787,3.344329977,7.225576943,7.937,3.81
163,Haircare,Glass,Jar,Sea,488,0.264469074,2.694690929,11.27231704,3.557,16.35
164,Haircare,Plastic,Box,Road,5268,0.060097916,3.475112173,16.21025334,13.883,13.31
165,Haircare,Glass,Jar,Road,1511,0.204084787,2.252869245,9.459324441,5.55,13.27
166,Fragrance,Aluminum,Bottle,Road,2825,0.326882214,1.963139076,14.19870698,9.196,7.98
167,Haircare,Glass,Tube,Road,2585,0.239988353,4.967229779,6.58632059,9.383,7.3
168,Skincare,Paper,Bottle,Road,2608,0.259433014,2.336410864,15.90029168,7.901,17.6
169,Haircare,Glass,Jar,Sea,4655,0.05,3.50039795,13.56470668,12.593,12.91
170,Skincare,Paper,Bottle,Road,4117,0.218619711,4.645417816,5.989446206,11.69,11.76
171,Skincare,Paper,Tube,Road,4778,0.277061778,4.597164951,10.87992738,12.959,13.47
172,Skincare,Paper,Jar,Sea,2115,0.28722319,4.453817846,16.65720455,7.782,16.45
173,Fragrance,Paper,Box,Road,1495,0.326988457,3.863439817,5.704837297,6.882,5.67
174,Makeup,Glass,Jar,Sea,2379,0.23317938,4.36880397,6.645248807,8.007,5.79
175,Makeup,Paper,Bottle,Road,3110,0.236747535,5.147705759,11.65251523,9.958,15.5
176,Haircare,Aluminum,Bottle,Road,1886,0.143430606,4.010027113,22.66665365,8.019,22.95
177,Makeup,Paper,Bottle,Road,2557,0.233638277,1.295357184,8.63710958,7.319,6.61
178,Skincare,Paper,Jar,Sea,872,0.149073995,2.865760153,14.47637,4.303,12.09
179,Fragrance,Aluminum,Bottle,Road,3231,0.10217039,4.335644086,13.30067704,10.722,10.5
180,Makeup,Plastic,Jar,Sea,3940,0.16318565,2.74748488,9.052400499,10.357,10.46
181,Fragrance,Glass,Box,Road,2923,0.370694793,5.444127367,12.80566676,10.383,11.7
182,Skincare,Glass,Box,Road,4808,0.228355104,3.424184206,9.76082669,13.089,13.65
183,Haircare,Plastic,Tube,Road,5476,0.267590189,3.602298526,10.21097605,14.069,11.71
184,Makeup,Paper,Box,Road,4985,0.2089203,4.849693039,3.693640486,13.301,6.77
185,Haircare,Aluminum,Box,Road,556,0.106755918,3.280580123,11.87781883,4.525,18.3
186,Haircare,Plastic,Tube,Road,4850,0.32488905,3.711532443,16.49546753,13.556,14.49
187,Skincare,Glass,Box,Road,1868,0.076224149,4.578948181,12.28712887,7.825,17.85
188,Haircare,Aluminum,Bottle,Sea,2512,0.205616586,1.733275261,17.4525388,7.927,19.14
189,Skincare,Aluminum,Box,Road,2295,0.24563081,3.157642205,14.90163723,8.406,16.73
190,Haircare,Paper,Jar,Road,1598,0.268439171,4.494983954,11.70229347,6.859,8.14
191,Makeup,Aluminum,Tube,Road,4830,0.191882432,3.578720178,8.860372235,13.547,9.86
192,Makeup,Aluminum,Box,Road,3526,0.102963081,5.260800574,9.568681423,11.571,9.08
193,Makeup,Paper,Jar,Road,5319,0.185912537,1.60889197,4.64744763,13.091,6.8
194,Haircare,Plastic,Bottle,Sea,5253,0.190099361,1.471997878,10.66460555,12.245,8.68
195,Fragrance,Paper,Jar,Road,2337,0.18815252,4.42362382,12.72999379,7.876,13.2
196,Skincare,Plastic,Jar,Sea,4012,0.327604687,4.538968658,20.57710549,11.226,21.93
197,Haircare,Glass,Box,Road,2787,0.152911778,3.268099992,14.64160162,9.251,16.99
198,Skincare,Plastic,Box,Road,2746,0.274078342,3.98047328,7.675730099,9.627,10.47
199,Haircare,Glass,Tube,Sea,4081,0.262663763,4.394248373,4.803158622,11.005,6.12
200,Fragrance,Glass,Box,Road,3804,0.326836406,2.523364153,10.96723956,11.281,11.07
201,Haircare,Paper,Jar,Road,5019,0.23934945,2.65178195,16.05882223,12.84,19.41
202,Fragrance,Paper,Jar,Air,4260,0.313290477,3.727671415,10.89691832,14.097,10.58
203,Haircare,Glass,Box,Sea,3440,0.236222389,4.584906752,14.70992088,10.579,15.81
204,Makeup,Paper,Tube,Sea,5060,0.284751402,2.100851688,11.09437275,12.749,10.45
205,Haircare,Glass,Tube,Road,607,0.129764713,3.262462842,15.58500217,4.599,13.3
206,Haircare,Plastic,Jar,Road,4209,0.05,3.206916042,4.013709886,11.137,9.01
207,Fragrance,Aluminum,Tube,Air,2187,0.280203748,4.001550926,20.0209106,10.395,15.59
208,Fragrance,Plastic,Box,Sea,2410,0.28449465,3.489561956,6.437582759,8.027,8.6
209,Haircare,Aluminum,Jar,Road,4310,0.288040187,2.844939699,15.96866165,12.152,16.43
210,Fragrance,Paper,Bottle,Road,1541,0.208005399,4.998278937,10.63908003,6.966,11.13
211,Haircare,Glass,Bottle,Road,4865,0.36917778,2.852891022,11.4208605,13.084,14.07
212,Makeup,Glass,Bottle,Road,2774,0.213209775,3.149484364,10.79449047,8.721,8.77
213,Fragrance,Paper,Jar,Sea,1952,0.283670322,1.590202837,13.27802293,5.57,8.93
214,Haircare,Aluminum,Tube,Road,1838,0.297570898,2.643648948,14.28762272,7.084,14.02
215,Makeup,Aluminum,Box,Road,2344,0.387499213,4.119291292,17.29180756,8.946,15.52
216,Haircare,Plastic,Bottle,Road,5188,0.22463763,3.884722348,19.03974441,13.344,15.76
217,Skincare,Plastic,Box,Road,609,0.197744568,4.219420388,13.65910773,4.65,15.45
218,Skincare,Aluminum,Tube,Road,2818,0.130148369,4.161178743,20.5683712,9.019,21.04
219,Haircare,Aluminum,Bottle,Road,4600,0.374189361,6.005256844,12.46486271,13.954,17.07
220,Fragrance,Glass,Jar,Road,2622,0.283712873,2.602569407,17.38720181,8.8,17.46
221,Skincare,Aluminum,Jar,Air,3134,0.286244888,1.556691508,14.14359836,10.992,11.45
222,Haircare,Aluminum,Box,Road,1947,0.499336339,2.239336405,9.253976843,7.65,8.7
223,Makeup,Glass,Box,Road,792,0.276003579,2.655617797,12.90617077,5.649,11.51
224,Skincare,Plastic,Box,Road,3534,0.145814288,2.330807676,14.51585939,10.368,14.93
225,Makeup,Paper,Tube,Road,5063,0.234327714,3.612393017,11.83900934,13.322,11.11
226,Haircare,Aluminum,Jar,Road,2884,0.172017407,5.003185887,14.06428259,10.382,12.82
227,Fragrance,Glass,Jar,Road,2404,0.218330528,5.347590888,16.3268148,8.633,13.03
228,Makeup,Glass,Box,Road,753,0.217792832,4.105170202,11.88313429,4.772,13.02
229,Makeup,Aluminum,Bottle,Road,5198,0.203038049,6.069526659,1,15.215,2.4
230,Skincare,Plastic,Jar,Sea,4787,0.1385374,3.072352332,20.39135076,12.447,24.28
231,Haircare,Paper,Bottle,Road,4965,0.377400131,1.54097715,10.51204285,12.714,11.88
232,Fragrance,Aluminum,Jar,Road,2006,0.273907844,4.763813681,7.883598896,8.193,11.37
233,Skincare,Paper,Jar,Road,3457,0.231962237,1.29368673,6.379448522,9.198,8.4
234,Fragrance,Glass,Bottle,Road,2407,0.310611026,2.593996373,10.31777049,8.079,11.21
235,Haircare,Plastic,Jar,Road,1328,0.287685382,4.124134679,9.186260843,6.325,11.66
236,Makeup,Glass,Box,Road,1170,0.272055259,3.377142224,8.314952681,5.814,11.79
237,Makeup,Aluminum,Tube,Road,2141,0.304799846,3.270856685,8.589368651,7.808,9.39
238,Haircare,Glass,Box,Road,3066,0.26071478,2.083051961,14.64871412,9.184,17.97
239,Haircare,Plastic,Box,Air,714,0.303617717,3.487037133,22.15181721,6.955,15.34
240,Makeup,Plastic,Box,Air,3876,0.310248984,4.704394986,16.10285799,13.581,17.14
241,Skincare,Glass,Jar,Air,2544,0.263017499,3.5239615,17.61299092,10.834,17.53
242,Makeup,Glass,Box,Road,4852,0.232368441,2.503728944,10.11294984,13.123,7.84
243,Skincare,Aluminum,Box,Road,1569,0.372431824,2.002953847,12.52332683,6.678,19.01
244,Makeup,Paper,Box,Road,331,0.211767877,2.5284865,14.13241202,3.051,17.37
245,Makeup,Glass,Jar,Road,1750,0.281305088,3.970800503,8.702210532,7.271,4.87
246,Skincare,Plastic,Bottle,Road,5354,0.283112673,3.912322715,9.871349647,14.054,13.19
247,Fragrance,Glass,Tube,Road,1804,0.201235372,2.539391479,16.27275979,6.734,14.77
248,Haircare,Paper,Box,Road,3885,0.185374209,0.847088694,17.45146378,9.503,16.34
249,Fragrance,Plastic,Box,Road,4645,0.221691838,4.004015316,12.33705135,13.274,14.86
250,Skincare,Paper,Tube,Road,1599,0.210622652,2.422751121,6.024214096,6.092,13.12
251,Skincare,Glass,Bottle,Sea,3552,0.133349555,4.326874975,10.52204008,10.801,13.46
252,Haircare,Glass,Jar,Road,1164,0.197880393,2.592668429,4.793344327,5.759,13.81
253,Skincare,Aluminum,Tube,Sea,2024,0.271297839,2.314519456,12.37601205,6.937,16.16
254,Haircare,Aluminum,Tube,Road,1663,0.351275487,3.683806289,13.27701556,7.188,13.06
255,Makeup,Paper,Jar,Road,3714,0.294351307,6.329239076,10.64644789,12.247,10.47
256,Skincare,Paper,Jar,Road,4822,0.05,4.398835989,13.20855611,12.899,17.28
257,Makeup,Paper,Bottle,Road,1425,0.301304297,3.663463159,14.0845062,5.68,11.29
258,Skincare,Aluminum,Jar,Road,1638,0.205347857,3.930621844,13.28431021,7.535,13.54
259,Skincare,Plastic,Tube,Road,4524,0.286246406,1.398660966,5.992348539,11.708,9.2
260,Makeup,Plastic,Bottle,Sea,2572,0.248869179,2.153191555,10.73367837,8.081,11.61
261,Fragrance,Glass,Box,Road,2846,0.23458499,0.486885362,14.04921489,8.071,10.77
262,Skincare,Plastic,Bottle,Road,3896,0.241821142,5.575848673,19.89355886,12.034,15.76
263,Haircare,Plastic,Tube,Sea,799,0.248206055,5.332863235,10.64037125,5.812,15.37
264,Fragrance,Glass,Jar,Road,4802,0.357552398,3.971382231,14.754201,12.953,11.91
265,Fragrance,Glass,Box,Road,2040,0.248427185,3.662138124,16.39075956,7.493,18.55
266,Makeup,Aluminum,Box,Road,3639,0.336842891,1.638091997,11.01686151,10.17,11.79
267,Haircare,Plastic,Tube,Road,2405,0.325192469,3.236840048,17.74203874,7.539,19.6
268,Haircare,Paper,Tube,Road,4154,0.303363644,5.650870254,18.01086916,12.603,18.71
269,Makeup,Plastic,Tube,Road,3383,0.107070494,3.657699198,18.90192367,9.958,18.86
270,Makeup,Paper,Tube,Sea,994,0.339330612,2.822424241,14.29216084,4.794,14.72
271,Haircare,Aluminum,Bottle,Road,1073,0.213367896,1.390315208,23.80068625,5.211,19.86
272,Skincare,Glass,Jar,Road,4831,0.307258182,5.156366873,8.923584436,14.083,15.3
273,Skincare,Glass,Bottle,Road,2881,0.172197373,3.415899439,22.62038793,9.047,26.16
274,Fragrance,Aluminum,Jar,Sea,1552,0.155194077,1.391919376,15.84149744,5.371,11.64
275,Haircare,Aluminum,Tube,Sea,830,0.408111099,2.390881182,18.70193667,4.811,19.03
276,Haircare,Plastic,Bottle,Sea,749,0.173441355,1.966954379,10.39981123,4.117,11.24
277,Haircare,Aluminum,Bottle,Sea,5063,0.341688531,3.341907769,16.22237351,13.555,16.86
278,Fragrance,Paper,Box,Sea,5370,0.259473626,3.748806764,19.13487082,13.362,15.3
279,Skincare,Plastic,Jar,Road,2194,0.216390395,2.896139523,6.563206781,7.182,4.92
280,Skincare,Glass,Bottle,Sea,1148,0.246413689,4.432455916,11.18336859,5.852,13.06
281,Haircare,Plastic,Tube,Road,2332,0.14591244,3.594562689,1.293736559,7.867,8.61
282,Haircare,Paper,Tube,Road,794,0.24889965,4.774774862,11.10833512,5.2,10.69
283,Makeup,Paper,Box,Sea,3045,0.163380775,3.071367106,7.919959033,8.494,11.31
284,Haircare,Paper,Box,Road,3461,0.218364496,7.15439071,10.91116156,11.347,13.45
285,Haircare,Paper,Box,Road,5419,0.324023965,2.822613532,26.61821679,13.847,21.17
286,Fragrance,Glass,Tube,Road,1787,0.270335254,2.41600401,20.58901753,6.85,18.03
287,Skincare,Plastic,Jar,Road,1128,0.13142636,2.26843934,4.802762316,5.671,10.55
288,Makeup,Glass,Box,Sea,776,0.31811905,3.246871128,14.77869151,4.864,14.68
289,Makeup,Glass,Jar,Road,2105,0.249432019,1.436556691,15.99465544,7.387,16.24
